,baseline,baseline_std,use_haptic_audio_vibro,use_haptic_audio_vibro_std,use_haptic_audio_vibro_wo,use_haptic_audio_vibro_wo_std
0,0.889344095,0.010042509,0.901143328,0.009112967,0.893927269,0.008923008
1,0.850091301,0.010956486,0.872067389,0.010546395,0.858133966,0.010775089
2,0.820930449,0.0105119,0.849931786,0.01127658,0.832815871,0.011486116
3,0.798045011,0.011843252,0.834215123,0.012778245,0.813731123,0.011796912
4,0.779828822,0.01291775,0.821556979,0.012756704,0.799252627,0.011587828
5,0.762044415,0.010572387,0.809099218,0.012827998,0.786083508,0.01145252
6,0.746376848,0.010078223,0.797477823,0.012883106,0.773600123,0.011365427
7,0.732972788,0.011604829,0.787917535,0.01295413,0.763325643,0.009530925
8,0.722701225,0.011173474,0.780625845,0.012843713,0.75556518,0.009504565
9,0.71378165,0.010914426,0.773784545,0.010599052,0.748414564,0.011443944
10,0.706384457,0.009792437,0.767864891,0.010519922,0.742423807,0.011519366
11,0.699802598,0.009630584,0.762493953,0.010456794,0.736928152,0.010540524
12,0.693837513,0.009492505,0.757064542,0.010213111,0.732562231,0.010404812
13,0.688822809,0.010557779,0.751931717,0.010035243,0.728508765,0.010311614
14,0.685014229,0.010798773,0.748138766,0.01002067,0.725323621,0.011424978
15,0.68138502,0.010982772,0.744463176,0.010096067,0.721415315,0.011511037
