,baseline_mean,baseline_std,use_haptic_mean,use_haptic_std,use_haptic_audio_mean,use_haptic_audio_std,use_haptic_audio_vibro_mean,use_haptic_audio_vibro_std
0,29.48821068,0.496736685,31.15567398,0.545036175,30.57254982,0.500649929,30.87833595,0.569421715
1,27.40339661,0.434905608,29.59887695,0.516945433,28.99257278,0.487890085,29.40386009,0.548394654
2,26.23538208,0.396749338,28.64897156,0.492411631,28.04652596,0.480020682,28.42135811,0.507099938
3,25.47910118,0.505541748,28.0598011,0.481293908,27.45705986,0.480056206,27.83343887,0.488560597
4,24.91021538,0.471478621,27.59698105,0.465546493,26.98629951,0.470599413,27.37187767,0.471794208
5,24.37686729,0.439275795,27.09152794,0.454815538,26.49522781,0.462641478,26.87308884,0.467270436
6,23.94423485,0.411348867,26.587183,0.503380896,26.04694366,0.453996023,26.43428993,0.46819241
7,23.61189079,0.527632825,26.16884804,0.530801648,25.68843079,0.446317434,26.07670021,0.470898902
8,23.36824226,0.549988906,25.85952568,0.495005163,25.43387985,0.43466719,25.81783485,0.463872883
9,23.13610458,0.527476509,25.53576851,0.53866858,25.1846199,0.425774058,25.55386734,0.544670211
10,22.96409416,0.512543321,25.28559685,0.532759349,25.00135422,0.551470968,25.35643768,0.531419595
11,22.82279778,0.498406529,25.07971764,0.525193267,24.84355736,0.532361243,25.18034744,0.519326263
12,22.69660378,0.4815437,24.88699913,0.49772448,24.6967907,0.499097612,25.00569534,0.494370249
13,22.57603836,0.476359725,24.69254875,0.480525123,24.55695915,0.479242166,24.81438446,0.474493557
14,22.49461555,0.480786403,24.58065414,0.477775521,24.45632935,0.470695866,24.6899147,0.463981999
15,22.42726898,0.481688937,24.48475647,0.473094675,24.36340714,0.463066419,24.58806992,0.458890862
